,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
1433,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SIG692,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.17198238   51.02984044]
1434,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,VAL934,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.24601939   51.09598606]
1435,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT HID414,HID413,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.10713768   51.14725724]
1436,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SHW829,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.1440385    51.15945166]
1437,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,SITE SPLIT MPK108: PORTION OF SITE ADDED TO MPK104,MPK108,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.9534596    51.05402441]
1438,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PKL538,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.03273113   50.92328799]
1439,PRINCE OF WALES ELEM SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PKL539,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.03373463   50.92523238]
1440,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,RUN247,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97459433   51.07073827]
1441,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,RUN258,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97649198   51.07697079]
1442,PETER LOUGHEED JR HIGH,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,SAD326,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-113.95633535   51.13134864]
1443,FATHER WHELIHAN ELEM & JR,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SDC399,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.04753712   50.90479976]
1444,MIDSUN JR HIGH; FISHCREEK SCHOOL,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,SDC436,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.03128687   50.90103368]
1445,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SDC445,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02984733   50.89701931]
1446,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SHS419,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.08544981   50.92180398]
1447,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PUM029,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10122471   50.9629256 ]
1448,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SHS441,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08911024   50.92200115]
1449,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SOV766,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.99174586   51.03542135]
1450,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,STR821,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17698522   51.05039119]
1451,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,,STR913,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19928387   51.0518956 ]
1452,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PAT824,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.18071826   51.06181315]
1453,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PAT825,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17834898   51.0610027 ]
1454,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PAT924,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31",ACTIVE,[-114.18318841   51.06645353]
1455,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SCE485,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.21233341   51.11072492]
1456,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SIG723,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.17784803   51.02706387]
1457,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SAN831,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08456821   51.13857144]
1458,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,RIV877,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.00244803   50.97464378]
1459,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,RIV886,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0051961    50.97780597]
1460,DR. FREDA MILLER SCHOOL,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT EVE963: NEW SITE EVE968,EVE968,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.11743161   50.91961613]
