,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
80,187,#1 1914 1 ST NW,2018-12-14,2018,2019-10-28,2019,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,935933,TUXEDO PARK,TUX,534500,2311000,1776500,70500.0,"[-114.0637905, 51.06935187]",,,"233,983.25",,,2.795306033305447
81,111,941 38 ST SW,2018-02-27,2018,2021-03-09,2021,Townhouse,K5 DESIGNS,K5 DESIGNS,HADDAD HOMES,8,2454483,ROSSCARROCK,RCK,962000,2749000,1787000,71000.0,"[-114.14259100000001, 51.04354249]",,,"306,810.38",,,4.945014009719761
82,15,2608 RICHMOND RD SW,2017-03-22,2017,2019-01-10,2019,Townhouse,SNAP BUILDING,SNAP BUILDING,0,4,897237,RICHMOND,RIC,477000,2274500,1797500,95000.0,"[-114.1220718, 51.0287169]",,,"224,309.25",,,3.93532785943763
83,96,#3 3355 SPRUCE DR SW,2019-09-11,2019,2020-08-11,2020,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,SHEMSHO CONSTRUCTION,4,1006087,SPRUCE CLIFF,SPR,471500,2271500,1800000,71000.0,"[-114.1355637, 51.04545892]",,,"251,521.75",,,4.452597215984766
84,180,1613 6 AV NW,2018-07-25,2018,2019-07-23,2019,Apartment,STONE WEST HOMES,STONE WEST HOMES,STONE WEST HOMES,4,700000,HILLHURST,HIL,727500,2536000,1808500,93000.0,"[-114.0971193, 51.05750297]",,,"175,000.00",,,2.2645086790528697
85,208,2828 1 ST NW,2018-10-25,2018,2020-12-29,2020,Townhouse,CAMBRIDGE HOMES,CAMBRIDGE HOMES,CAMBRIDGE HOMES,5,1232218,TUXEDO PARK,TUX,530500,2341500,1811000,70500.0,"[-114.0646831, 51.07772977]",,,"246,443.60",,,3.703408827649219
86,166,641 12 AV NE,2020-08-28,2020,2021-06-16,2021,Unspecified,WESTMOUNT PROJECTS,WESTMOUNT PROJECTS,WESTMOUNT PROJECTS,4,793339,RENFREW,REN,281000,2097500,1816500,71500.0,"[-114.0485073, 51.06296753]",,,"198,334.75",,,2.603964208268073
87,199,1842 38 AV SW,2019-01-08,2019,2020-03-02,2020,Unspecified,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,0,4,934345,ALTADORE,ALT,681500,2506000,1824500,95000.0,"[-114.1046685, 51.02035532]",,,"233,586.25",,,3.550206431460189
88,207,1610 16 AV SW,2017-03-10,2017,2018-04-02,2018,Apartment,RNDSQR,RNDSQR,0,4,1067611,SUNALTA,SNA,702500,2542500,1840000,61200.0,"[-114.0979564, 51.0387407]",,,"266,902.75",,,1.940862517150572
89,149,307 18 ST NW,2022-02-15,2022,2023-08-18,2023,Apartment,VERDEEP UBHI,VERDEEP UBHI,VERDEEP UBHI,3,826606,WEST HILLHURST,WHL,540500,2382000,1841500,93000.0,"[-114.1026885, 51.05467993]",,,"275,535.33",,,2.4208100092585467
90,106,2106 49 AV SW,2019-02-05,2019,2020-03-18,2020,Townhouse,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,4,963760,ALTADORE,ALT,670000,2536500,1866500,95000.0,"[-114.1094966, 51.0100531]",,,"240,940.00",,,4.668014307864874
